election,fed,house_flip,opp_both,asset,level_T,T-21_T+0,T+0_T+1,T+0_T+21,T+0_T+42
1990-11-06,宽松,False,False,UST10,8.52,-13.0,5.0,-49.0,-27.0
1990-11-06,宽松,False,False,UST2,7.65,-16.0,2.0,-32.0,-55.0
1990-11-06,宽松,False,False,WTI,32.41,-16.64,9.47,-16.14,-15.92
1990-11-06,宽松,False,False,VIX,29.11,1.07,1.76,-6.49,1.27
1990-11-06,宽松,False,False,SPX,311.62,-0.59,-1.8,5.6,1.05
1990-11-06,宽松,False,False,DXY,82.11,-1.78,-0.09,1.34,0.85
1990-11-06,宽松,False,False,Gold,,,,,
1994-11-08,加息,True,True,UST10,8.01,31.0,-7.0,-22.0,-22.0
1994-11-08,加息,True,True,UST2,7.02,37.0,-1.0,51.0,56.0
1994-11-08,加息,True,True,WTI,18.46,2.73,-1.63,-8.13,-1.25
1994-11-08,加息,True,True,VIX,16.3,1.58,0.12,1.85,-3.78
1994-11-08,加息,True,True,SPX,465.65,1.44,-0.05,-4.34,-0.85
1994-11-08,加息,True,True,DXY,86.17,-1.88,1.03,3.53,3.26
1994-11-08,加息,True,True,Gold,,,,,
1998-11-03,宽松,False,False,UST10,4.78,47.0,5.0,-16.0,-5.0
1998-11-03,宽松,False,False,UST2,4.25,8.0,18.0,21.0,37.0
1998-11-03,宽松,False,False,WTI,14.24,-6.56,-2.18,-23.74,-14.26
1998-11-03,宽松,False,False,VIX,27.76,-15.05,-0.39,0.94,-3.3
1998-11-03,宽松,False,False,SPX,1110.84,12.37,0.7,3.54,12.06
1998-11-03,宽松,False,False,DXY,93.91,-1.13,0.23,0.97,0.28
1998-11-03,宽松,False,False,Gold,,,,,
2002-11-05,宽松,False,False,UST10,4.1,41.0,-1.0,-1.0,-10.0
2002-11-05,宽松,False,False,UST2,1.82,4.0,5.0,7.0,-11.0
2002-11-05,宽松,False,False,WTI,26.06,-12.11,-1.3,6.41,23.1
2002-11-05,宽松,False,False,VIX,31.23,-11.41,-0.5,-1.13,-6.1
2002-11-05,宽松,False,False,SPX,915.39,16.57,0.91,-0.97,0.82
2002-11-05,宽松,False,False,DXY,105.87,-1.56,-0.26,0.26,-3.68
2002-11-05,宽松,False,False,Gold,318.2,-1.15,-0.22,2.55,11.22
2006-11-07,暂停,True,True,UST10,4.66,-4.0,-2.0,-17.0,0.0
2006-11-07,暂停,True,True,UST2,4.77,3.0,-2.0,-19.0,2.0
2006-11-07,暂停,True,True,WTI,58.94,-1.24,3.8,3.6,-10.15
2006-11-07,暂停,True,True,VIX,11.09,-0.59,-0.34,1.58,0.38
2006-11-07,暂停,True,True,SPX,1382.84,2.38,0.21,1.77,2.31
2006-11-07,暂停,True,True,DXY,85.43,-1.26,-0.02,-3.11,-0.97
2006-11-07,暂停,True,True,Gold,625.7,8.18,-1.49,0.06,-2.25
2010-11-02,宽松,True,False,UST10,2.63,9.0,4.0,40.0,73.0
2010-11-02,宽松,True,False,UST2,0.34,-8.0,0.0,15.0,29.0
2010-11-02,宽松,True,False,WTI,83.91,3.05,0.64,4.85,9.15
2010-11-02,宽松,True,False,VIX,21.57,-1.96,-2.01,-2.18,-3.96
2010-11-02,宽松,True,False,SPX,1193.5699,4.97,0.37,2.34,6.56
2010-11-02,宽松,True,False,DXY,76.72,-2.21,-0.31,4.67,3.14
2010-11-02,宽松,True,False,Gold,1356.4,3.12,-1.42,2.37,4.88
2014-11-04,暂停,False,True,UST10,2.35,-10.0,1.0,-4.0,-39.0
2014-11-04,暂停,False,True,UST2,0.52,-5.0,0.0,13.0,10.0
2014-11-04,暂停,False,True,WTI,77.15,-15.24,2.02,-14.59,-37.33
2014-11-04,暂停,False,True,VIX,14.89,-0.57,-0.72,-2.51,6.23
2014-11-04,暂停,False,True,SPX,2012.1,2.41,0.57,2.97,-0.47
2014-11-04,暂停,False,True,DXY,86.98,1.48,0.53,1.98,5.2
2014-11-04,暂停,False,True,Gold,1167.4,-3.26,-1.88,3.43,4.45
2018-11-06,加息,True,False,UST10,3.22,-1.0,0.0,-37.0,-48.0
2018-11-06,加息,True,False,UST2,2.93,5.0,3.0,-21.0,-37.0
2018-11-06,加息,True,False,WTI,62.16,-16.31,-0.76,-15.12,-17.25
2018-11-06,加息,True,False,VIX,19.91,4.22,-3.55,3.32,0.07
2018-11-06,加息,True,False,SPX,2755.45,-4.47,2.12,-4.44,-6.19
2018-11-06,加息,True,False,DXY,96.32,0.57,-0.33,0.2,-1.14
2018-11-06,加息,True,False,Gold,1223.8,3.33,0.2,1.88,5.35
2022-11-08,加息,True,False,UST10,4.14,25.0,-2.0,-57.0,-60.0
2022-11-08,加息,True,False,UST2,4.67,37.0,-6.0,-34.0,-47.0
2022-11-08,加息,True,False,WTI,88.8,-3.06,-3.39,-19.71,-15.42
2022-11-08,加息,True,False,VIX,25.54,-6.91,0.55,-2.86,-3.57
2022-11-08,加息,True,False,SPX,3828.1101,5.97,-2.08,3.54,2.38
2022-11-08,加息,True,False,DXY,109.62,-3.11,0.85,-4.42,-5.82
2022-11-08,加息,True,False,Gold,1716.0,2.44,-0.13,4.98,9.35
